Iterasyon,0_PSO_Klasik,Fly_Kör_Yok_Sabit,Fly_Kör_Yok_Yorulan,Fly_Kör_Yan_Lob_Sabit,Fly_Kör_Yan_Lob_Yorulan,Fly_Kör_Ana_Lob_Sabit,Fly_Kör_Ana_Lob_Yorulan,Fly_Anlık_Yok_Sabit,Fly_Anlık_Yok_Yorulan,Fly_Anlık_Yan_Lob_Sabit,Fly_Anlık_Yan_Lob_Yorulan,Fly_Anlık_Ana_Lob_Sabit,Fly_Anlık_Ana_Lob_Yorulan,Fly_Hafızalı_Yok_Sabit,Fly_Hafızalı_Yok_Yorulan,Fly_Hafızalı_Yan_Lob_Sabit,Fly_Hafızalı_Yan_Lob_Yorulan,Fly_Hafızalı_Ana_Lob_Sabit,Fly_Hafızalı_Ana_Lob_Yorulan
21,3.814697265625e-06,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1204795837402344,2.3689727783203125,1.1209983825683594,0.15266799926757812,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
22,3.814697265625e-06,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1176433563232422,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
23,3.814697265625e-06,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.114593505859375,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
24,3.814697265625e-06,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1111183166503906,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
25,1.9073486328125e-06,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1088390350341797,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
26,0.0,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1047821044921875,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
27,0.0,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.1032180786132812,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
28,0.0,1.0392417907714844,2.8168182373046875,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0986328125,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
29,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0977325439453125,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
30,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0926704406738281,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
31,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0923805236816406,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
32,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0868873596191406,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
33,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0868873596191406,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
34,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.081838607788086,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
35,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0812969207763672,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
36,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.076904296875,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
37,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0758895874023438,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
38,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0721092224121094,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
39,0.0,1.0392417907714844,2.8103904724121094,1.832427978515625,1.5474395751953125,2.3613719940185547,0.99951171875,1.0019454956054688,0.052227020263671875,0.084228515625,1.0311088562011719,2.3689727783203125,1.1209983825683594,0.013599395751953125,0.0536346435546875,1.0516033172607422,3.297628402709961,0.02495574951171875,1.74560546875
