Senaryo_ID,Boyut 1 (Enerji),Boyut 2 (Ödül)
220,0.053247828,-0.8987164
221,-0.080556706,0.80691934
222,0.0769959,-0.7189178
223,-0.08058875,0.8070081
224,0.053247638,-0.89871585
225,0.06764365,-0.93859124
226,0.1748164,0.08174382
227,-0.18301435,-0.12601231
228,0.08060964,-0.80706596
229,0.06698587,-0.7693296
230,-0.018173076,-0.65446347
231,0.06764365,-0.93859124
232,-0.06698587,0.7693296
233,-0.06764365,0.93859124
234,-0.06764365,0.93859124
235,0.06764365,-0.93859124
236,0.1748164,0.08174382
237,0.15556705,-0.110515654
238,0.15556705,-0.110515654
239,-0.06698587,0.7693296
240,0.121696025,-0.4185518
241,0.08061126,-0.80707043
242,-0.01985947,0.64298147
243,0.06764365,-0.93859124
244,-0.0905152,0.74515843
245,0.08419381,-0.7388552
246,0.053247835,-0.8987164
247,0.06764365,-0.93859124
248,0.15556705,-0.110515654
249,0.053247333,-0.898715
250,0.11620082,-0.47030652
251,-0.09509096,0.70206326
252,-0.066996686,0.9367992
253,-0.09326281,0.71928114
254,-0.05540218,0.65910554
255,-0.08689301,0.7463317
256,0.07223912,-0.8843442
257,0.06654646,-0.9467147
258,0.09509096,-0.70206326
259,0.06698587,-0.7693296
260,0.06762752,-0.9497091
261,0.090563595,-0.71180457
262,-0.11620082,0.47030652
263,-0.08058387,0.80699456
264,-0.06764365,0.93859124
265,0.06764365,-0.93859124
266,-0.055402275,0.65910465
267,0.066543944,-0.9467078
268,0.06764365,-0.93859124
269,0.11620082,-0.47030652
270,-0.06624565,0.94588155
271,0.08055799,-0.80692285
272,0.06764365,-0.93859124
273,-0.0532476,0.89871573
274,0.15556705,-0.110515654
275,0.06764365,-0.93859124
276,-0.06698587,0.7693296
277,-0.080661185,0.8072087
278,-0.121696025,0.4185518
279,0.06764365,-0.93859124
280,-0.05367695,0.91660535
281,0.12440234,-0.42600438
282,0.056094162,-0.76752573
283,-0.066351704,0.9461753
284,0.05324733,-0.898715
285,-0.06764365,0.93859124
286,0.053247314,-0.89871496
287,0.06764365,-0.93859124
288,-0.06764365,0.93859124
289,-0.11620082,0.47030652
